chr	3utr_start	3utr_end	gene_name
chr1	160340923	160342638	NHLH1
chr1	160340923	160342638	NHLH1
chr1	160395168	160398468	VANGL2
chr1	160395168	160398468	VANGL2
chr1	16060429	16061264	PLEKHM2
chr1	161040784	161042450	PVRL4
chr1	16111156	16113089	FBLIM1
chr1	161928444	161933860	ATF6
chr1	161928444	161933860	ATF6
chr1	162353473	162356600	C1orf226
chr1	162353473	162356600	C1orf226
chr1	162353473	162356600	C1orf226
chr1	162353473	162356600	C1orf226
chr1	162353473	162356600	C1orf226
chr1	163044350	163046592	RGS4
chr1	163044181	163046381	RGS4
chr1	16450831	16451709	EPHA2
chr1	166821821	166825581	POGK
chr1	166882442	166888591	ILDR2
chr1	166882442	166888591	ILDR2
chr1	166882442	166888591	ILDR2
chr1	167385047	167385176	POU2F1
chr1	167385047	167396582	POU2F1
chr1	167385047	167396582	POU2F1
chr1	167385047	167396582	POU2F1
chr1	167385047	167396582	POU2F1
chr1	168211778	168222263	SFT2D2
chr1	168211778	168222263	SFT2D2
chr1	171560986	171562650	PRRC2C
chr1	171669299	171673645	VAMP4
chr1	172376981	172381857	DNM3
chr1	173457002	173457946	PRDX6
chr1	173578699	173579283	ANKRD45
chr1	174959138	174964445	RABGAP1L
chr1	174959138	174964445	RABGAP1L
chr1	174982093	174983804	MRPS14
chr1	178491575	178491784	TEX35
chr1	178489702	178491783	TEX35
chr1	178885494	178889238	RALGPS2
chr1	179783324	179785333	FAM163A
chr1	179809101	179815205	TOR1AIP2
chr1	180941860	180945705	STX6
chr1	180941860	180945705	STX6
chr1	181024401	181031074	MR1
chr1	181024401	181031074	MR1
chr1	182350838	182353539	GLUL
chr1	183904970	183907894	COLGALT2
chr1	184041981	184043346	TSEN15
chr1	184041997	184043340	TSEN15
chr1	184041981	184043346	TSEN15
chr1	184041997	184043340	TSEN15
chr1	184588690	184598154	C1orf21
chr1	186640922	186643484	PTGS2
chr1	186640922	186643484	PTGS2
chr1	186640922	186643484	PTGS2
chr1	18809809	18812478	KLHDC7A
chr1	196977813	196978804	CFHR5
chr1	201299201	201302121	PKP1
chr1	201299201	201302121	PKP1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201373624	201378378	TNNI1
chr1	201845182	201853422	IPO9
chr1	201845182	201853422	IPO9
chr1	201865579	201867499	LMOD1
chr1	201938682	201939789	TIMM17A
chr1	201938682	201939789	TIMM17A
chr1	203708982	203713209	ATP2B4
chr1	203708982	203713209	ATP2B4
chr1	203708982	203713209	ATP2B4
chr1	203708982	203713209	ATP2B4
chr1	203743809	203745245	LAX1
chr1	204095262	204096863	SOX13
chr1	204391755	204393979	PIK3C2B
chr1	204518810	204527248	MDM4
chr1	204586297	204586978	LRRN2
chr1	205042893	205047627	CNTN2
chr1	205042893	205047627	CNTN2
chr1	205042893	205047627	CNTN2
chr1	205111632	205116685	DSTYK
chr1	205111632	205116685	DSTYK
chr1	205111632	205116685	DSTYK
chr1	205111632	205116685	DSTYK
chr1	20517897	20522541	UBXN10
chr1	20517897	20522541	UBXN10
chr1	207076320	207077484	IL24
chr1	207191865	207195302	C1orf116
chr1	207532955	207534311	CD55
chr1	20825942	20827182	MUL1
chr1	211487110	211489727	RCOR3
chr1	218614704	218617961	TGFB2
chr1	218614704	218617961	TGFB2
chr1	2238204	2241558	SKI
chr1	2238204	2241558	SKI
chr1	2238204	2241558	SKI
chr1	224345448	224349749	FBXO28
chr1	224345448	224349749	FBXO28
chr1	224572844	224577536	WDR26
chr1	224927058	224928251	CNIH3
chr1	227843529	227850162	ZNF678
chr1	22852889	22857647	ZBTB40
chr1	22852889	22857647	ZBTB40
chr1	228879487	228882416	RHOU
chr1	22928234	22930087	EPHA8
chr1	229439552	229441641	RAB4A
chr1	229795044	229795946	URB2
chr1	229795044	229795946	URB2
chr1	230415204	230417870	GALNT2
chr1	231351186	231352770	TRIM67
chr1	231489107	231490769	SPRTN
chr1	231700651	231702270	TSNAX
chr1	23240363	23241818	EPHB2
chr1	23240063	23240763	EPHB2
chr1	233112270	233113274	NTPCR
chr1	233119180	233120049	PCNXL2
chr1	236378854	236381815	ERO1LB
chr1	236378854	236381815	ERO1LB
chr1	236378854	236381815	ERO1LB
chr1	23685940	23688461	ZNF436
chr1	23686467	23688461	ZNF436
chr1	237060944	237067281	MTR
chr1	237060944	237067281	MTR
chr1	24086063	24088549	TCEB3
chr1	2435066	2436965	PLCH2
chr1	24446260	24447294	IL22RA1
chr1	2460183	2460907	HES5
chr1	246489114	246489679	SMYD3
chr1	24680978	24681808	GRHL3
chr1	246829207	246831886	CNST
chr1	246829207	246831886	CNST
chr1	247148624	247150268	ZNF695
chr1	247200085	247200750	ZNF670
chr1	247200085	247200750	ZNF670
chr1	247460713	247463820	ZNF496
chr1	247693433	247694850	OR2C3
chr1	249104649	249106098	SH3BP5L
chr1	24932238	24935816	NCMAP
chr1	24932238	24935816	NCMAP
chr1	25226008	25228612	RUNX3
chr1	25226008	25228612	RUNX3
chr1	25549169	25549756	SYF2
chr1	25824957	25826700	TMEM57
chr1	25893483	25895377	LDLRAP1
chr1	26158411	26159429	MTFR1L
chr1	26158517	26159429	MTFR1L
chr1	26361838	26362955	EXTL1
chr1	26363742	26365650	SLC30A2
chr1	26364512	26365650	SLC30A2
chr1	26363742	26365650	SLC30A2
chr1	26364512	26365650	SLC30A2
chr1	26900692	26901516	RPS6KA1
chr1	26900692	26900767	RPS6KA1
chr1	27180334	27184092	ZDHHC18
chr1	27661957	27662891	TMEM222
chr1	27992571	27992891	IFI6
chr1	27992574	27992891	IFI6
chr1	27992576	27992891	IFI6
chr1	28562967	28564609	ATPIF1
chr1	28661481	28662476	MED18
chr1	29445939	29447416	TMEM200B
chr1	29445945	29447416	TMEM200B
chr1	31184123	31186428	MATN1
chr1	35648532	35650056	SFPQ
chr1	36060277	36060929	TFAP2E
chr1	36319206	36323491	AGO4
chr1	36385208	36395211	AGO1
chr1	36558987	36559533	ADPRHL2
chr1	36560836	36563169	COL8A2
chr1	38147241	38148794	C1orf109
chr1	38275238	38280807	MTF1
chr1	38275238	38280807	MTF1
chr1	38275238	38280807	MTF1
chr1	38489300	38490496	UTP11L
chr1	38509522	38511059	POU3F1
chr1	40961731	40961960	ZFP69
chr1	41086350	41092188	RIMS3
chr1	43198763	43200756	CLDN19
chr1	43241065	43241418	C1orf50
chr1	44438211	44439041	DPH2
chr1	44438211	44439012	DPH2
chr1	44443679	44443966	ATP6V0B
chr1	44443679	44443961	ATP6V0B
chr1	44443679	44443967	ATP6V0B
chr1	44462154	44463216	SLC6A9
chr1	45100909	45102081	TMEM53
chr1	45100909	45102058	TMEM53
chr1	45482070	45484125	ZSWIM5
chr1	46879247	46879517	FAAH
chr1	46879247	46879517	FAAH
chr1	46879247	46879517	FAAH
chr1	46879247	46879517	FAAH
chr1	46879247	46879517	FAAH
chr1	47842417	47844511	CMPK1
chr1	50883221	50884336	DMRTA2
chr1	50883221	50884336	DMRTA2
chr1	50883221	50884336	DMRTA2
chr1	55307473	55307925	C1orf177
chr1	55315305	55317905	DHCR24
chr1	61920992	61928465	NFIA
chr1	6307405	6309397	GPR153
chr1	63329830	63331184	ATG4C
chr1	63790166	63790797	FOXD3
chr1	63902691	63904233	ALG6
chr1	64644538	64647181	ROR1
chr1	64644538	64647181	ROR1
chr1	64644538	64647181	ROR1
chr1	6526151	6527622	PLEKHG5
chr1	66098852	66101111	LEPR
chr1	6681697	6684093	PHF13
chr1	6694148	6695646	THAP3
chr1	6694227	6695734	DNAJC11
chr1	6694148	6695646	THAP3
chr1	6694227	6695734	DNAJC11
chr1	6694148	6695646	THAP3
chr1	6694227	6695734	DNAJC11
chr1	6694148	6695646	THAP3
chr1	6694227	6695734	DNAJC11
chr1	6695172	6695734	DNAJC11
chr1	6694148	6695646	THAP3
chr1	6694227	6695734	DNAJC11
chr1	6695172	6695734	DNAJC11
chr1	67278567	67279812	WDR78
chr1	67465014	67470022	SLC35D1
chr1	70339156	70340687	LRRC7
chr1	71528973	71530756	ZRANB2
chr1	71529019	71530820	ZRANB2
chr1	71861622	71873128	NEGR1
chr1	75033794	75036123	C1orf173
chr1	77094491	77100286	ST6GALNAC3
chr1	77094491	77100286	ST6GALNAC3
chr1	77094491	77100286	ST6GALNAC3
chr1	77094491	77100286	ST6GALNAC3
chr1	7826551	7829766	CAMTA1
chr1	7826551	7829766	CAMTA1
chr1	78340749	78344106	FAM73A
chr1	7839705	7841492	VAMP3
chr1	7902815	7905237	PER3
chr1	8071778	8073269	ERRFI1
chr1	84700988	84704181	PRKACB
chr1	85109389	85113115	SSX2IP
chr1	87570379	87575681	HS2ST1
chr1	89299131	89301938	PKN2
chr1	89646830	89650936	GBP4
chr1	90180541	90185092	LRRC8C
chr1	90180541	90185092	LRRC8C
chr1	9095165	9097644	SLC2A5
chr1	91177095	91177868	BARHL2
chr1	92974252	92979212	EVI5
chr1	92974252	92979212	EVI5
chr1	9324928	9331396	H6PD
chr1	9324928	9331396	H6PD
chr1	9324928	9331396	H6PD
chr1	93615298	93620226	TMED5
chr1	94350760	94354545	GCLM
chr1	95439962	95448631	ALG14
chr1	95439962	95448631	ALG14
chr1	95439962	95448631	ALG14
chr1	95439962	95448631	ALG14
chr1	95439962	95448631	ALG14
chr1	95439962	95448631	ALG14
chr1	95657424	95663163	TMEM56
chr1	97543298	97544531	DPYD
chr1	9787104	9788977	PIK3CD
chr1	990361	991496	AGRN
chr1	990361	991496	AGRN
chr1	99772566	99775146	LPPR4
chr2	100889752	100900759	LONRF2
chr2	100889752	100900759	LONRF2
chr2	100889752	100900759	LONRF2
chr2	101624078	101624282	TBC1D8
chr2	10192634	10194963	KLF11
chr2	101962012	101967384	CREG2
chr2	10196906	10198979	CYS1
chr2	102018897	102019214	RFX8
chr2	103431427	103434125	TMEM182
chr2	103431427	103434125	TMEM182
chr2	10580093	10580849	ODC1
chr2	10580093	10580849	ODC1
chr2	107418055	107423133	ST6GAL2
chr2	107418059	107423133	ST6GAL2
chr2	108627317	108630450	SLC5A7
chr2	10923389	10925236	ATP6V1C2
chr2	10923389	10925236	ATP6V1C2
chr2	111921808	111922625	BCL2L11
chr2	111921808	111926024	BCL2L11
chr2	112945083	112945791	FBLN7
chr2	113090065	113097634	ZC3H6
chr2	113286372	113299316	TTL
chr2	113286372	113299316	TTL
chr2	113344110	113346852	CHCHD5
chr2	113742626	113743131	IL36G
chr2	113742626	113743242	IL36G
chr2	113890448	113891593	IL1RN
chr2	113890448	113890698	IL1RN
chr2	113958992	113960814	PSD4
chr2	114715032	114720173	ACTR3
chr2	11584500	11586602	E2F6
chr2	11584500	11586602	E2F6
chr2	11731550	11732272	GREB1
chr2	120020914	120023228	STEAP3
chr2	120932483	120936695	EPB41L5
chr2	120932483	120936695	EPB41L5
chr2	121974162	121981916	TFCP2L1
chr2	121974162	121981916	TFCP2L1
chr2	121974162	121981916	TFCP2L1
chr2	128396000	128396855	LIMS2
chr2	128396002	128396855	LIMS2
chr2	128396000	128396855	LIMS2
chr2	128396002	128396855	LIMS2
chr2	128396295	128396855	LIMS2
chr2	128396000	128396855	LIMS2
chr2	128396002	128396855	LIMS2
chr2	128396295	128396855	LIMS2
chr2	128396000	128396855	LIMS2
chr2	128396002	128396855	LIMS2
chr2	128396295	128396855	LIMS2
chr2	128396000	128396855	LIMS2
chr2	128396002	128396855	LIMS2
chr2	128396295	128396855	LIMS2
chr2	128409329	128410213	GPR17
chr2	128458595	128463896	WDR33
chr2	128603839	128605680	POLR2D
chr2	128619203	128622667	AMMECR1L
chr2	128947316	128953251	UGGT1
chr2	128947316	128953251	UGGT1
chr2	128947316	128953251	UGGT1
chr2	128947316	128953251	UGGT1
chr2	131095813	131096692	CCDC115
chr2	131803762	131804826	ARHGEF4
chr2	131803762	131804826	ARHGEF4
chr2	135926351	135928276	RAB3GAP1
chr2	135926351	135927559	RAB3GAP1
chr2	135926351	135928276	RAB3GAP1
chr2	135926351	135928276	RAB3GAP1
chr2	135926351	135928276	RAB3GAP1
chr2	140988991	140990754	LRP1B
chr2	14774982	14780170	FAM84A
chr2	152689289	152695632	CACNB4
chr2	152973314	152977087	STAM2
chr2	152973314	152977087	STAM2
chr2	153504419	153506348	FMNL2
chr2	153508106	153512819	PRPF40A
chr2	158383278	158390429	ACVR1C
chr2	164459120	164466061	FIGN
chr2	166536263	166545917	CSRNP3
chr2	166536263	166545917	CSRNP3
chr2	166536263	166545917	CSRNP3
chr2	169983618	169985172	LRP2
chr2	171847332	171850289	TLK1
chr2	172337624	172341562	DCAF17
chr2	172337624	172341562	DCAF17
chr2	172337624	172341562	DCAF17
chr2	172337624	172341562	DCAF17
chr2	172411337	172412117	CYBRD1
chr2	172411337	172414643	CYBRD1
chr2	172411159	172414156	CYBRD1
chr2	175292623	175294303	SCRN3
chr2	175292623	175294303	SCRN3
chr2	177037002	177037830	HOXD3
chr2	178402923	178408564	AGPS
chr2	178413725	178415493	TTC30B
chr2	178413725	178415493	TTC30B
chr2	178413725	178415493	TTC30B
chr2	178477719	178481431	TTC30A
chr2	178487979	178494134	PDE11A
chr2	178487979	178494134	PDE11A
chr2	178487979	178494134	PDE11A
chr2	182400254	182400914	ITGA4
chr2	182401402	182402910	CERKL
chr2	182402131	182402910	CERKL
chr2	183617275	183617350	DNAJC10
chr2	183641859	183659191	DNAJC10
chr2	183641859	183659191	DNAJC10
chr2	183641859	183659191	DNAJC10
chr2	183641859	183659191	DNAJC10
chr2	183641859	183659191	DNAJC10
chr2	183773842	183790429	NCKAP1
chr2	183773842	183790429	NCKAP1
chr2	183773842	183790429	NCKAP1
chr2	187627550	187630685	FAM171B
chr2	187627550	187630685	FAM171B
chr2	188343311	188343402	TFPI
chr2	190425304	190426603	SLC40A1
chr2	190920422	190921983	MSTN
chr2	197597169	197597517	CCDC150
chr2	197697727	197705957	PGAP1
chr2	197697727	197705957	PGAP1
chr2	197697727	197705957	PGAP1
chr2	197697727	197705957	PGAP1
chr2	197697727	197705957	PGAP1
chr2	197697727	197705957	PGAP1
chr2	197697727	197705957	PGAP1
chr2	197712199	197712749	PGAP1
chr2	198432947	198436731	RFTN2
chr2	199011686	199013125	PLCL1
chr2	199011686	199013125	PLCL1
chr2	200134222	200136933	SATB2
chr2	200794697	200797789	TYW5
chr2	201838440	201845992	FAM126B
chr2	201838440	201845992	FAM126B
chr2	201838440	201845992	FAM126B
chr2	202028696	202041410	CFLAR
chr2	202484906	202488977	TMEM237
chr2	202484906	202488977	TMEM237
chr2	202484906	202488977	TMEM237
chr2	202484906	202488977	TMEM237
chr2	203630487	203634480	FAM117B
chr2	203640689	203644255	ICA1L
chr2	203739504	203745582	WDR12
chr2	203848347	203851786	CARF
chr2	20400557	20402526	SDC1
chr2	204082077	204084597	NBEAL1
chr2	204082077	204084597	NBEAL1
chr2	204082077	204084597	NBEAL1
chr2	204082077	204084597	NBEAL1
chr2	204298404	204304159	RAPH1
chr2	204292075	204312446	ABI2
chr2	204298404	204304159	RAPH1
chr2	204292075	204312446	ABI2
chr2	204298404	204304159	RAPH1
chr2	204292075	204312446	ABI2
chr2	204298404	204304159	RAPH1
chr2	204292075	204312446	ABI2
chr2	204298404	204304159	RAPH1
chr2	204292075	204312446	ABI2
chr2	20448451	20451345	PUM2
chr2	204599635	204603635	CD28
chr2	204824322	204826300	ICOS
chr2	206659782	206662857	NRP2
chr2	207176317	207179148	ZDBF2
chr2	20817581	20818746	HS1BP3
chr2	208627309	208631705	FZD5
chr2	217122587	217124034	MARCH4
chr2	217536827	217541473	IGFBP5
chr2	217536827	217541473	IGFBP5
chr2	217536827	217541473	IGFBP5
chr2	217536827	217541473	IGFBP5
chr2	217536827	217541473	IGFBP5
chr2	217536827	217541473	IGFBP5
chr2	219314059	219318018	VIL1
chr2	219314973	219319652	USP37
chr2	219825646	219826876	CDK5R2
chr2	220113281	220115059	STK16
chr2	220414576	220415317	TMEM198
chr2	223423617	223425667	SGPP2
chr2	223423617	223425667	SGPP2
chr2	223435254	223436589	FARSB
chr2	223806372	223809357	ACSL3
chr2	223806372	223809357	ACSL3
chr2	225243414	225244925	FAM124B
chr2	225243414	225244289	FAM124B
chr2	227596032	227600966	IRS1
chr2	227596032	227600966	IRS1
chr2	228176586	228179508	COL4A3
chr2	228419211	228425930	AGFG1
chr2	228474805	228476109	C2orf83
chr2	228474806	228476366	C2orf83
chr2	228474805	228476109	C2orf83
chr2	228474806	228476366	C2orf83
chr2	228474805	228476109	C2orf83
chr2	228474806	228476366	C2orf83
chr2	228844665	228846432	SPHKAP
chr2	228844672	228846432	SPHKAP
chr2	229888689	229890347	PID1
chr2	229888710	229890347	PID1
chr2	229888689	229890347	PID1
chr2	229888710	229890347	PID1
chr2	231267611	231268447	SP140L
chr2	231380355	231381242	SP100
chr2	231683419	231685790	CAB39
chr2	231742814	231743962	ITM2C
chr2	231742814	231743963	ITM2C
chr2	232387870	232389753	NMUR1
chr2	232387870	232389753	NMUR1
chr2	232387870	232389753	NMUR1
chr2	234378106	234380746	DGKD
chr2	234378106	234380742	DGKD
chr2	234925942	234928166	TRPM8
chr2	234925942	234928166	TRPM8
chr2	237032766	237040444	AGAP1
chr2	240896788	240900534	NDUFA10
chr2	241653180	241656780	KIF1A
chr2	241653180	241656780	KIF1A
chr2	241653180	241656780	KIF1A
chr2	242052721	242054358	PASK
chr2	242052721	242054358	PASK
chr2	242052721	242054358	PASK
chr2	24443192	24443762	ITSN2
chr2	24443192	24443762	ITSN2
chr2	25166504	25170484	DNAJC27
chr2	26611971	26618759	EPT1
chr2	26680070	26681088	OTOF
chr2	26680070	26680907	OTOF
chr2	26680071	26680907	OTOF
chr2	26951436	26956288	KCNK3
chr2	27001379	27004099	SLC35F6
chr2	27001379	27004099	SLC35F6
chr2	27263705	27264563	TMEM214
chr2	27263705	27264561	TMEM214
chr2	27321756	27322651	CGREF1
chr2	27353400	27353680	ABHD1
chr2	27353612	27353680	ABHD1
chr2	27353623	27354281	PREB
chr2	27532361	27532779	MPV17
chr2	29022169	29025806	PPP1CB
chr2	29072686	29073064	TRMT61B
chr2	29274959	29284239	FAM179A
chr2	29274959	29284239	FAM179A
chr2	29274959	29284239	FAM179A
chr2	29274959	29284239	FAM179A
chr2	29274959	29284239	FAM179A
chr2	29274959	29284239	FAM179A
chr2	29284557	29287734	C2orf71
chr2	29284557	29287734	C2orf71
chr2	29284557	29287734	C2orf71
chr2	29404759	29406679	CLIP4
chr2	30863485	30867090	LCLAT1
chr2	30863485	30867091	LCLAT1
chr2	30863485	30867090	LCLAT1
chr2	30863485	30867091	LCLAT1
chr2	30863485	30867090	LCLAT1
chr2	30863485	30867091	LCLAT1
chr2	30945636	30946102	CAPN13
chr2	32530695	32541663	YIPF4
chr2	36775844	36778278	CRIM1
chr2	36775844	36778278	CRIM1
chr2	36779400	36780305	FEZ2
chr2	36779436	36780305	FEZ2
chr2	36779400	36780305	FEZ2
chr2	36779436	36780305	FEZ2
chr2	37869031	37872965	CDC42EP3
chr2	38294651	38297864	CYP1B1
chr2	42557347	42559688	EML4
chr2	42557347	42557884	EML4
chr2	42557347	42559688	EML4
chr2	43992737	43995126	PLEKHH2
chr2	43992737	43995126	PLEKHH2
chr2	44113646	44115738	LRPPRC
chr2	44113646	44115738	LRPPRC
chr2	44457140	44458610	PPM1B
chr2	44457857	44458611	PPM1B
chr2	45171899	45173216	SIX3
chr2	45232299	45233308	SIX2
chr2	45232299	45233308	SIX2
chr2	47129012	47132601	MCFD2
chr2	47301062	47303274	TTC7A
chr2	47301062	47302463	TTC7A
chr2	47301062	47303274	TTC7A
chr2	47301062	47302463	TTC7A
chr2	47743719	47748045	KCNK12
chr2	50145642	50149081	NRXN1
chr2	54480314	54482055	TSPYL6
chr2	54887223	54889445	SPTBN1
chr2	54887223	54889445	SPTBN1
chr2	54895706	54896812	SPTBN1
chr2	55514977	55518300	CCDC88A
chr2	5834179	5841516	SOX11
chr2	5834179	5841516	SOX11
chr2	60684332	60687538	BCL11A
chr2	61169103	61169529	PUS10
chr2	61413921	61418338	AHSA2
chr2	64685562	64688515	LGALSL
chr2	65248280	65250999	SLC1A4
chr2	69694918	69703000	AAK1
chr2	7036073	7038370	RSAD2
chr2	70504524	70508323	PCYOX1
chr2	70504524	70508323	PCYOX1
chr2	70504524	70508323	PCYOX1
chr2	70504524	70508323	PCYOX1
chr2	70674411	70677990	TGFA
chr2	70674411	70677990	TGFA
chr2	70677304	70677990	TGFA
chr2	7179891	7184313	RNF144A
chr2	72403112	72406463	EXOC6B
chr2	73161083	73162020	EMX1
chr2	73438057	73439641	NOTO
chr2	73453074	73454365	SMYD5
chr2	74329303	74335303	TET3
chr2	74329303	74335303	TET3
chr2	74379654	74383694	MOB1A
chr2	74379654	74383694	MOB1A
chr2	74785009	74785842	M1AP
chr2	74785009	74785842	M1AP
chr2	85771845	85777056	GGCX
chr2	8992819	8998808	MBOAT2
chr2	95847854	95850065	ZNF2
chr2	95955880	95957056	PROM2
chr2	96049797	96051825	KCNIP3
chr2	96778706	96780544	ADRA2B
chr2	96914253	96919545	TMEM127
chr2	97503648	97505285	ANKRD23
chr2	97503651	97505285	ANKRD23
chr2	99767297	99767950	C2ORF15
chr3	100534854	100535502	ABI3BP
chr3	100941389	100945812	IMPG2
chr3	100941389	100945812	IMPG2
chr3	105293320	105295744	ALCAM
chr3	105293320	105295705	ALCAM
chr3	105374304	105377813	CBLB
chr3	105374304	105377813	CBLB
chr3	107879658	107881323	IFT57
chr3	108099215	108100391	MYH15
chr3	108412206	108413693	DZIP3
chr3	108677085	108677811	MORC1
chr3	109012634	109012851	DPPA2
chr3	110853062	110854801	PVRL3
chr3	113664325	113666021	GRAMD1C
chr3	113664325	113664617	GRAMD1C
chr3	113664325	113666007	GRAMD1C
chr3	113804751	113807269	QTRTD1
chr3	119536059	119537332	NR1I2
chr3	119536059	119537332	NR1I2
chr3	119540169	119545634	GSK3B
chr3	120043355	120050046	LRRC58
chr3	120043355	120050046	LRRC58
chr3	120111139	120115798	FSTL1
chr3	120111139	120115798	FSTL1
chr3	120115319	120115798	FSTL1
chr3	120111139	120115798	FSTL1
chr3	120115319	120115798	FSTL1
chr3	120321117	120321347	NDUFB4
chr3	122004038	122005342	CASR
chr3	122060414	122060819	CSTA
chr3	122128678	122131181	FAM162A
chr3	122140795	122145831	KPNA1
chr3	122250619	122254961	PARP9
chr3	122290594	122294050	DTX3L
chr3	123001142	123003454	ADCY5
chr3	123331156	123332951	MYLK
chr3	124684553	124689495	HEG1
chr3	124944404	124951184	ZNF148
chr3	125725197	125725858	SLC41A3
chr3	125725200	125725858	SLC41A3
chr3	125725698	125725858	SLC41A3
chr3	126061477	126062569	KLF15
chr3	126061477	126062569	KLF15
chr3	126261421	126262134	CHST13
chr3	127291935	127292631	TPRA1
chr3	127340616	127341276	MCM2
chr3	128685431	128690067	KIAA1257
chr3	129149792	129150343	MBD4
chr3	129274017	129275154	PLXND1
chr3	129274017	129275154	PLXND1
chr3	129366634	129370323	TMCC1
chr3	129366634	129370323	TMCC1
chr3	12938718	12940888	IQSEC1
chr3	129696059	129696781	TRH
chr3	133319416	133320093	TOPBP1
chr3	133543082	133547631	RAB6B
chr3	133543082	133547631	RAB6B
chr3	133543082	133547631	RAB6B
chr3	133543082	133547631	RAB6B
chr3	134977962	134979309	EPHB1
chr3	135864008	135866733	PPP2R3A
chr3	135867763	135869988	MSL2
chr3	136055076	136057095	STAG1
chr3	136055077	136057095	STAG1
chr3	136055076	136057095	STAG1
chr3	136055077	136057095	STAG1
chr3	136667295	136668665	NCK1
chr3	136729065	136729927	IL20RB
chr3	137780831	137781657	DZIP1L
chr3	137879853	137880730	DBR1
chr3	138669414	138672293	C3orf72
chr3	140285095	140296239	CLSTN2
chr3	14239616	14242619	LSM3
chr3	150176423	150184218	TSC22D2
chr3	150176423	150184218	TSC22D2
chr3	150176423	150184218	TSC22D2
chr3	150176423	150184218	TSC22D2
chr3	150176423	150184218	TSC22D2
chr3	150643949	150644638	CLRN1
chr3	150644353	150645722	CLRN1
chr3	15090024	15093947	MRPS25
chr3	15090024	15093947	MRPS25
chr3	15093223	15093991	MRPS25
